date,open,high,low,close,volume
2022-01-04,147.0,148.95,135.05,135.4,241261.16
2022-01-05,136.2,136.2,126.59,129.0,265115.78
2022-01-06,127.87,131.2,125.71,130.1,151221.59
2022-01-07,129.0,131.18,124.98,128.3,164805.06
2022-01-10,127.91,127.91,123.69,124.5,171825.2
2022-01-11,125.86,125.86,119.61,120.98,220587.62
2022-01-12,124.5,125.5,121.14,125.49,205781.2
2022-01-13,125.64,125.96,122.6,123.05,131228.34
2022-01-14,121.4,125.1,120.25,123.6,148956.69
2022-01-17,123.62,128.53,123.15,124.7,176206.31
2022-01-18,125.0,126.5,121.74,124.85,127732.64
2022-01-19,124.34,124.34,118.69,120.71,180254.45
2022-01-20,119.0,123.73,118.55,122.26,132451.62
2022-01-21,122.26,127.7,121.01,124.77,186528.66
2022-01-24,126.0,132.96,124.0,131.57,259089.28
2022-01-25,130.0,131.29,126.01,126.01,162960.41
2022-01-26,127.58,130.8,127.02,129.45,132202.69
2022-01-27,128.4,129.2,109.58,111.0,466223.53
2022-01-28,114.51,116.54,112.0,113.99,305308.38
2022-02-07,119.5,119.5,112.1,112.89,190681.31
2022-02-08,113.0,113.99,104.41,107.12,324157.38
2022-02-09,107.78,108.2,102.9,107.05,240151.7
2022-02-10,108.99,108.99,99.0,101.1,380247.28
2022-02-11,98.5,100.99,96.41,96.7,331767.16
2022-02-14,95.61,98.32,94.5,95.58,241564.36
2022-02-15,97.19,102.97,95.27,102.29,338152.59
2022-02-16,102.8,104.57,101.4,102.32,214736.91
2022-02-17,102.01,109.48,101.3,107.6,333173.88
2022-02-18,106.76,109.45,105.11,105.94,176573.08
2022-02-21,105.46,108.22,103.5,106.05,198649.09
2022-02-22,104.54,109.1,103.01,107.65,220584.72
2022-02-23,108.47,112.02,107.99,111.84,220603.09
2022-02-24,111.0,118.85,110.03,116.1,393896.81
2022-02-25,120.66,121.66,113.97,117.16,248557.12
2022-02-28,116.0,121.25,115.16,121.1,175749.91
2022-03-01,124.88,126.5,121.05,122.84,249232.88
2022-03-02,123.63,125.35,118.88,125.08,166667.81
2022-03-03,126.38,128.59,121.75,122.3,176255.31
2022-03-04,121.0,124.58,120.02,121.63,149157.52
2022-03-07,120.42,126.46,118.78,123.92,241852.05
2022-03-08,125.5,129.96,125.0,126.9,281606.97
2022-03-09,129.7,130.8,115.0,122.17,336283.56
2022-03-10,125.67,130.31,123.66,129.01,250659.48
2022-03-11,126.0,128.88,121.01,126.52,217367.34
2022-03-14,125.78,125.98,118.98,119.99,163435.23
2022-03-15,118.7,125.0,117.18,121.12,204611.92
2022-03-16,124.76,125.0,113.58,123.28,316631.0
2022-03-17,125.0,125.88,116.89,118.96,296172.28
2022-03-18,117.0,121.8,113.68,121.25,162081.53
2022-03-21,120.19,121.99,116.29,117.37,224168.12
2022-03-22,117.72,118.68,111.28,113.41,249767.62
2022-03-23,115.0,117.25,114.0,114.73,172978.12
2022-03-24,114.74,114.97,112.0,112.79,121763.87
2022-03-25,113.5,114.45,108.71,108.86,143496.81
2022-03-28,106.95,110.28,106.55,107.3,150378.98
2022-03-29,108.0,110.88,107.13,109.37,144458.38
2022-03-30,109.92,111.99,107.88,111.91,190213.77
2022-03-31,111.46,111.46,103.28,107.26,238641.59
2022-04-01,106.2,108.98,104.88,105.53,179400.08
2022-04-06,107.0,107.09,101.18,102.58,164035.22
2022-04-07,102.99,103.8,101.02,101.35,126579.45
2022-04-08,102.39,105.55,100.98,101.51,184999.62
2022-04-11,100.99,100.99,95.99,96.39,215003.44
2022-04-12,97.41,98.36,94.51,96.8,182960.23
2022-04-13,96.0,97.76,94.2,95.5,168450.48
2022-04-14,96.03,96.58,87.99,88.1,402751.19
